﻿"№ ГОЛОСА";"ИЗБИР. ОКРУГ";"АДРЕС ГОЛОСА В БЛОКЧЕЙНЕ";"БЛОК ГОЛОСА";"ВРЕМЯ ЗАПИСИ БЛОКА ГОЛОСА";"ЗАШИФРОВАННЫЙ ГОЛОС"
"96";77;"0xfab6f2d34bc9f6553a6e6897ba514fb0c8db12a4f93d9430dcf1fb686a7432dd";"#16501";"07:06:59";"{""message"":""501c7b3fa4fbc23bdd711895aa1586aafc6cc092"",""nonce"":""2dcb2e9f83dca20fa1623775c89339207b19c00b9bc57c52"",""public_key"":""106ed36b86b9de14a5f8d468a3e3d37d6de0d0a0adfedfd360fa3f6b4ad6c65a""}"
"97";77;"0x516452a6c619deb113cc64ee04827b71864c3d073713b5949731664d6b5cfecc";"#16501";"07:06:59";"{""message"":""eadd99f471ca958c8e2f980ce34ada80306a53ef"",""nonce"":""488173f0f095913ea9835655d85ca702889b52cb3941cca4"",""public_key"":""c3393b54f0f4f5a9b57ed64a99d0ceef19bda51de4f14c3b4377cb80563f876b""}"
"98";77;"0x902c34d0ee7ef80134dfe4b1594ec359a3755654445e8f5398a5de9b43ba4455";"#16501";"07:06:59";"{""message"":""c67b11b23450ca99c234435057c1c4a6d12fc9e6"",""nonce"":""d098d347a99f2edbca9cdceb41619f7035de3eeddd4e125f"",""public_key"":""2caabd35754b4de4570d9bce103fd6f9c7df963d2c199abda9c16ef55a019567""}"
"99";77;"0x3080d451e9776a93eba44fe602b10cba6959b975addf3d630f577041dab1a505";"#16501";"07:06:59";"{""message"":""1e75b6f4082472243f332fbb4707fdf695af5439"",""nonce"":""2fb38d2bb3d72703728f21810508d10611bce162e9c6406c"",""public_key"":""25f2488f9e4331185c6921393e4b11f8e6fb665422d062660d4d780dfcef8145""}"
"100";77;"0xeea5e2a55e6b946933983c7052bfdab336e0b54d2770d71776d435c85b30ae61";"#16501";"07:06:59";"{""message"":""24bc17f90ae852da4fce32c9dea776fe0a0434c2"",""nonce"":""082f349617175db8bf42b59e9811aa5bfed65a37262a14d7"",""public_key"":""7fece5c0513d297951d6781c6f6e0a4f67388f2e50343806eb2289676f84660a""}"
"101";77;"0xea6f66345ca54762432e3040ae2b40853e8c952da56672b10c417bf3641e7bc0";"#16501";"07:06:59";"{""message"":""031aa5e89296704b29d07f5c5030a518fb2e15a3"",""nonce"":""300c6bc973629b26e5414130fa4da77c55ff1d0364640f28"",""public_key"":""51a2742bffb59a4dcccd52ec0477f61addd0383dd264df5731d5eb9fa20d5a58""}"
"102";77;"0x83e68298fd5f121a415da8ffcbb484c115c231e5a15af6484c06050ee3faaf18";"#16501";"07:06:59";"{""message"":""75d7ac95ed4131a0d7ee326620111e69234f9693"",""nonce"":""ab7662f889637342e15c4bfeaa476fd3382d42535f1a688f"",""public_key"":""262b351da03b0360ac386bcc3c446b0f5fe2931a6f590a31dd3f463fe543245b""}"
"103";77;"0xa2c3c422ad31d40dffbb3d7d070145eb9ec038c8b1157fd542b3511b86a5e316";"#16501";"07:06:59";"{""message"":""46cc6a3db86e83a9043b5dac240df0864385a4f0"",""nonce"":""d63b8add8d102f523916dcc71af25f4dd40d1977e4c1d8a8"",""public_key"":""7a91c2f20e975f4429db66c1e3863a7f48717646b78e95635fd0c5ad05a6b90e""}"
"104";77;"0x864a92ba69bfc2ad6b413b0e94b074a72391f9a4efa4604e3497d4347c9adf9b";"#16501";"07:06:59";"{""message"":""2d3e53a4316567ae5de07c3c84e606612c67bd5c"",""nonce"":""eb8aecee04a20a2a0adad2cc526227910a6ec185c7eb7603"",""public_key"":""31c3dec2aa0294ceab1ede22dc8df48c006aa2019c18a76a7de7583c3bcee274""}"
"105";77;"0x849711db27c8c61b0dea654d9fdcb3586936a6fe60889c2651fa2d8ad8fc5c81";"#16501";"07:06:59";"{""message"":""a93fabc3021df899eac5252277f38203c79fb126"",""nonce"":""aa60db08abc2d21a1fcac1d4348e862fc88ba6f02d9b47e6"",""public_key"":""5ce2e2c5ea5d48252c3576875f2e9741d5c0a50a4e3130162ccf5ad8528be318""}"
